Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total,NormFlow_IAT_Mean,NormFwd_IAT_Mean,NormFlow_IAT_Std,NormBwd_IAT_Mean
0.000000,0.000601,0.755863,0.058000,1464,1.464000,147.400000,dns,0.982667,0.000000,0.000001,0.000854,0.027517,0.000624,0.000697
0.000000,0.000078,0.080326,0.046000,18,0.018000,144.000000,dns,0.960000,0.000000,0.000000,0.000110,0.021824,0.000066,0.000009
0.000000,101.679000,0.000000,0.000000,0,0.000000,147.000000,dns,0.980000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.313000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.444769,0.000000,0.000000,0.000000
0.000000,0.005574,9.482555,0.045000,16523,16.523000,147.400000,dns,0.982667,0.000000,0.000014,0.007920,0.021350,0.007827,0.007866
0.000000,157.707000,0.000000,0.000000,0,0.000000,45.333333,dns,0.302222,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.248000,0.000000,0.000000,0,0.000000,135.333333,dns,0.902222,0.000000,0.000000,0.352405,0.000000,0.000000,0.000000
0.000000,0.256000,0.000000,0.000000,0,0.000000,188.333333,dns,1.255556,0.000000,0.000000,0.363773,0.000000,0.000000,0.000000
0.000000,37.034000,1.277035,36.131000,0,0.000000,96.000000,dns,0.640000,0.000000,0.000000,10.000000,10.000000,0.001054,0.000000
0.000000,0.000128,0.133088,0.053000,50,0.000050,147.400000,dns,0.982667,0.000000,0.000000,0.000182,0.025145,0.000110,0.000000
0.000000,0.086783,150.034896,0.055000,260028,260.028000,147.400000,dns,0.982667,0.000000,0.000217,0.123317,0.026094,0.123840,0.123794
0.000000,0.094000,0.072021,0.048000,57,0.057000,147.400000,dns,0.982667,0.000000,0.000000,0.133573,0.022773,0.000059,0.000027
0.000000,0.105000,0.140993,0.038000,10,0.000010,147.400000,dns,0.982667,0.000000,0.000000,0.149204,0.018029,0.000116,0.000000
0.000000,0.090930,72.822099,39.437000,0,0.000000,133.500000,dns,0.890000,0.000000,0.000000,0.129210,10.000000,0.060108,0.000000
0.000000,0.007517,12.792048,0.048000,22288,22.288000,147.400000,dns,0.982667,0.000000,0.000019,0.010682,0.022773,0.010559,0.010611
0.000000,0.838096,2041.121421,1676.132000,5028191,2.514095,156.750000,dns,1.045000,0.000000,0.004191,1.190924,10.000000,1.684753,0.001197
0.000000,0.000100,0.111500,0.058000,15,0.015000,133.600000,dns,0.890667,0.000000,0.000000,0.000142,0.027517,0.000092,0.000007
0.000000,1.964000,0.000000,0.000000,0,0.000000,130.000000,dns,0.866667,0.000000,0.000000,2.790819,0.000000,0.000000,0.000000
0.000000,0.000112,0.138226,0.048000,18,0.018000,147.400000,dns,0.982667,0.000000,0.000000,0.000160,0.022773,0.000114,0.000009
0.000000,0.000095,0.048993,0.053000,84,0.084000,147.400000,dns,0.982667,0.000000,0.000000,0.000135,0.025145,0.000040,0.000040
0.000000,0.000100,0.124374,0.000040,17,0.017000,133.600000,dns,0.890667,0.000000,0.000000,0.000142,0.000019,0.000103,0.000008
0.000000,0.000201,0.068245,0.438000,324,0.324000,145.800000,dns,0.972000,0.000000,0.000000,0.000286,0.207803,0.000056,0.000154
0.000000,0.282000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.400718,0.000000,0.000000,0.000000
0.000000,7.973000,13.566617,0.046000,23638,23.638000,147.400000,dns,0.982667,0.000000,0.000020,10.000000,0.021824,0.011198,0.011254
0.000000,0.215000,0.000000,0.000000,0,0.000000,52.000000,dns,0.346667,0.000000,0.000000,0.305512,0.000000,0.000000,0.000000
0.000000,0.107000,0.118495,0.052000,26,0.026000,147.400000,dns,0.982667,0.000000,0.000000,0.152046,0.024671,0.000098,0.000012
0.000000,1.838000,0.000000,0.000000,0,0.000000,129.000000,dns,0.860000,0.000000,0.000000,2.611774,0.000000,0.000000,0.000000
0.000000,0.937000,0.000000,0.000000,0,0.000000,133.000000,dns,0.886667,0.000000,0.000000,1.331465,0.000000,0.000000,0.000000
0.000000,0.407000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.578342,0.000000,0.000000,0.000000
0.000000,0.304000,0.000000,0.000000,0,0.000000,59.000000,dns,0.393333,0.000000,0.000000,0.431980,0.000000,0.000000,0.000000
0.000000,0.000320,0.000000,0.000000,0,0.000000,121.000000,dns,0.806667,0.000000,0.000000,0.000455,0.000000,0.000000,0.000000
0.000000,0.000390,0.352429,0.000240,793,0.793000,134.200000,dns,0.894667,0.000000,0.000001,0.000555,0.000114,0.000291,0.000378
0.000000,0.243000,0.000000,0.000000,0,0.000000,120.000000,dns,0.800000,0.000000,0.000000,0.345300,0.000000,0.000000,0.000000
0.000000,0.361000,0.000000,0.000000,0,0.000000,121.000000,dns,0.806667,0.000000,0.000000,0.512976,0.000000,0.000000,0.000000
