Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label
0.000000,0.216000,0.000000,0.000000,0,0.000000,136.333333,dns
0.000000,8.404000,0.000000,0.000000,0,0.000000,197.000000,dns
0.000000,15.579000,0.000000,0.000000,0,0.000000,118.666667,dns
0.000000,0.008350,0.000000,0.000000,0,0.000000,201.000000,dns
0.000000,1064.582000,0.000000,0.000000,0,0.000000,172.666667,dns
0.000000,0.872000,0.000000,0.000000,0,0.000000,139.666667,dns
0.000000,0.236000,0.000000,0.000000,0,0.000000,146.333333,dns
0.000000,2.028000,0.000000,0.000000,0,0.000000,151.000000,dns
0.000000,74.562000,0.000000,0.000000,0,0.000000,37.333333,dns
0.000000,0.232000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.122000,0.000000,0.000000,0,0.000000,28.000000,dns
0.000000,73.509000,0.000000,0.000000,0,0.000000,156.333333,dns
0.000000,0.236000,0.000000,0.000000,0,0.000000,195.333333,dns
0.000000,0.034776,30.033427,104.055000,49278,49.278000,155.400000,dns
0.000000,63.247000,0.000000,0.000000,0,0.000000,193.000000,dns
0.000000,6.208000,0.000000,0.000000,0,0.000000,197.666667,dns
0.000000,8.152000,0.000000,0.000000,0,0.000000,194.333333,dns
0.000000,495.583000,0.000000,0.000000,0,0.000000,113.666667,dns
0.000000,0.271000,0.000000,0.000000,0,0.000000,188.333333,dns
0.000000,0.004578,7.433560,13.498000,13396,13.396000,141.400000,dns
0.000000,7.901000,0.000000,0.000000,0,0.000000,174.333333,dns
0.000000,0.255000,0.000000,0.000000,0,0.000000,200.000000,dns
0.000000,1.857000,0.000000,0.000000,0,0.000000,130.333333,dns
0.000000,64.947000,1.900703,63.603000,0,0.000000,145.250000,dns
0.000000,690.514000,1132.960555,2071.332000,1998274,1998.274000,148.400000,dns
0.000000,0.307000,0.000000,0.000000,0,0.000000,116.000000,dns
0.000000,0.209000,0.000000,0.000000,0,0.000000,116.000000,dns
