Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total,NormFlow_IAT_Mean,NormFwd_IAT_Mean,NormFlow_IAT_Std,NormBwd_IAT_Mean
114.500000,0.167016,408.745313,0.333972,1002044,501.022000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307035,3.688219
95.500000,166.986000,408.758124,0.333918,1001888,500.944000,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.307201,3.687644
97.740180,0.100162,282.979610,0.185988,1302063,0.260413,302.933333,http,2.019556,1.357821,0.001085,10.000000,10.000000,3.674128,0.001917
114.500000,0.167071,408.662391,0.334081,1002394,501.197000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.305958,3.689507
72.191214,0.308653,756.730774,0.565843,3395148,848.787000,332.076923,http,2.213846,1.002891,0.002830,10.000000,10.000000,9.825180,6.248253
114.500000,0.167025,408.789730,333.987000,1002102,501.051000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307611,3.688432
97.740180,0.144895,348.413164,0.269053,1883602,0.376720,303.066667,http,2.020444,1.357821,0.001570,10.000000,10.000000,4.523699,0.002773
95.500000,0.167011,408.735759,0.333960,1001990,500.995000,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.306911,3.688020
97.740180,0.153021,372.865619,0.284151,1989216,0.397843,302.933333,http,2.019556,1.357821,0.001658,10.000000,10.000000,4.841183,0.002929
114.500000,0.167023,408.806220,0.333983,1002098,501.049000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307825,3.688417
95.500000,0.166993,408.758859,0.333931,1001922,500.961000,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.307211,3.687770
97.740180,0.151865,370.079576,0.282009,1974208,0.394842,302.933333,http,2.019556,1.357821,0.001645,10.000000,10.000000,4.805010,0.002907
114.500000,0.166971,408.700727,333.894000,1001787,0.500893,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.306456,0.003687
95.500000,0.166976,408.741547,0.333895,1001826,500.913000,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.306986,3.687416
114.500000,0.166979,408.742122,0.333901,1001834,500.917000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.306993,3.687446
97.740180,0.101021,283.644490,0.187578,1313239,0.262648,302.933333,http,2.019556,1.357821,0.001095,10.000000,10.000000,3.682761,0.001933
97.740180,0.101023,283.653282,0.187575,1313283,0.262657,302.933333,http,2.019556,1.357821,0.001095,10.000000,10.000000,3.682875,0.001934
95.500000,0.166988,408.725141,0.333895,1001898,500.949000,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.306773,3.687681
34.756294,0.005184,14.778348,0.011649,46574,0.011643,29.000000,http,0.193333,0.482839,0.000039,10.000000,1.691410,0.191878,0.000086
114.500000,0.167006,408.753644,0.333953,1001998,500.999000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307143,3.688049
114.500000,0.167023,408.800101,0.333988,1002091,0.501046,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307746,0.003688
114.500000,167.022000,408.796339,0.333974,1002097,0.501049,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307697,0.003688
